Permit Type,Permit Type Definition,Permit Creation Date,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing_Use,Existing_Units,Proposed_Use,Proposed_Units,Plansets,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Address
8,otc alterations permit,2016-11-07,repair dryrot & stucco at front of bldg.,complete,2017-07-24,2016-11-07,2017-07-18,2017-07-24,2017-07-18,N,2,2,N,N,2018-07-13,2000,2000,0,1,0,1,2,5,wood frame (5),5,wood frame (5),N,3,Nob Hill,"Lot 011,Block 0156,1230 Pacific Av, 94109"
8,otc alterations permit,2017-06-30,re-roofing,complete,2017-07-12,2017-06-30,2017-06-30,2017-07-12,2017-06-30,N,3,3,N,N,2018-06-25,12000,12000,7,5,7,5,0,5,wood frame (5),5,wood frame (5),N,5,Inner Sunset,"Lot 020,Block 1739,1291 11th Av, 94122"
8,otc alterations permit,2017-10-11,reroofing,complete,2017-10-31,2017-10-11,2017-10-11,2017-10-31,2017-10-11,N,2,2,N,N,2018-04-11,14000,14000,0,1,0,1,0,5,wood frame (5),5,wood frame (5),N,9,Portola,"Lot 020,Block 5934,938 Felton St, 94134"
3,additions alterations or repairs,2014-07-08,new sprinkler system. 94 heads. ref: 2014-11-12-1272.,complete,2017-09-08,2014-07-08,2015-09-11,2017-09-08,2015-09-11,N,2,2,N,Y,2016-09-05,15000,47000,18,1,18,1,2,3,constr type 3,3,constr type 3,N,9,Portola,"Lot 025,Block 5900A,801 Silver Av, 94134"
8,otc alterations permit,2014-08-25,to comply with physical inspection report cc7777,complete,2017-10-04,2014-08-25,2014-08-25,2017-10-04,2014-08-25,N,3,3,N,N,2015-08-20,500,500,7,4,7,4,0,5,wood frame (5),5,wood frame (5),N,6,South of Market,"Lot 029,Block 3509,63 Grace St, 94103"
3,additions alterations or repairs,2016-02-17,"provide a new sprinklers monitoring system, water flow and valve monitoring",complete,2017-10-13,2016-02-17,2016-07-01,2017-10-13,2016-07-01,N,2,2,N,Y,2017-06-26,17749,18000,7,1,7,1,2,5,wood frame (5),5,wood frame (5),N,10,Bayview Hunters Point,"Lot 043,Block 4700,1004 Griffith St, 94124"
8,otc alterations permit,2016-04-06,permeation grouting of 22 lineal ft of foundation,complete,2017-09-28,2016-04-06,2016-04-06,2017-09-28,2016-04-06,N,2,2,N,N,2017-04-01,8200,8200,0,1,0,1,2,5,wood frame (5),5,wood frame (5),N,1,Outer Richmond,"Lot 016E,Block 1497,583 47th Av, 94121"
8,otc alterations permit,2016-09-09,reroofing,complete,2017-09-22,2016-09-09,2016-09-09,2017-09-22,2016-09-09,N,1,1,N,N,2017-09-04,9800,9800,0,1,0,1,0,5,wood frame (5),5,wood frame (5),N,7,West of Twin Peaks,"Lot 032,Block 7241,291 Stratford Dr, 94132"
8,otc alterations permit,2016-10-07,reroofing,complete,2017-10-03,2016-10-07,2016-10-07,2017-10-03,2016-10-07,N,2,2,N,N,2017-10-02,6500,6500,0,1,0,1,0,5,wood frame (5),5,wood frame (5),N,10,Bayview Hunters Point,"Lot 126,Block 4991,830 Meade Av, 94124"
8,otc alterations permit,2016-10-17,"bathroom remodel  - r/r tu, vanity and toilet",complete,2017-08-22,2016-10-17,2016-10-17,2017-08-22,2016-10-17,N,3,3,N,N,2017-10-12,10000,10000,7,7,7,7,0,5,wood frame (5),5,wood frame (5),N,3,North Beach,"Lot 025,Block 0105,1402 Kearny St, 94133"
